"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group 4";"Thu Oct 11, 2018";"8:45 PM";"A";"";"Montenegro";"4-2-3-1";"9.394";"0:2";"UEFA Nations League C";"Serbia"
"Group 4";"Sun Oct 14, 2018";"3:00 PM";"A";"";"Romania";"4-2-3-1";"48.513";"0:0";"UEFA Nations League C";"Serbia"
"Group 4";"Sat Nov 17, 2018";"3:00 PM";"H";"";"Montenegro";"4-2-3-1";"15.416";"2:1";"UEFA Nations League C";"Serbia"
"Group 4";"Tue Nov 20, 2018";"8:45 PM";"H";"";"Lithuania";"4-2-3-1";"2.088";"4:1";"UEFA Nations League C";"Serbia"
"Group 3";"Thu Sep 3, 2020";"8:45 PM";"A";"";"Russia";"3-4-2-1";"x";"3:1";"UEFA Nations League B";"Serbia"
"Group 3";"Sun Sep 6, 2020";"8:45 PM";"H";"";"Türkiye";"3-5-2 flat";"x";"0:0";"UEFA Nations League B";"Serbia"
"Group 3";"Sun Oct 11, 2020";"8:45 PM";"H";"";"Hungary";"3-4-2-1";"x";"0:1";"UEFA Nations League B";"Serbia"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"A";"";"Türkiye";"3-4-2-1";"";"2:2";"UEFA Nations League B";"Serbia"
"Group 3";"Sun Nov 15, 2020";"8:45 PM";"A";"";"Hungary";"3-4-3";"x";"1:1";"UEFA Nations League B";"Serbia"
"Group 3";"Wed Nov 18, 2020";"8:45 PM";"H";"";"Russia";"4-4-2 double 6";"x";"5:0";"UEFA Nations League B";"Serbia"
"Group 4";"Thu Jun 2, 2022";"8:45 PM";"H";"";"Norway";"3-4-2-1";"9.726";"0:1";"UEFA Nations League B";"Serbia"
"Group 4";"Sun Jun 5, 2022";"8:45 PM";"H";"";"Slovenia";"3-4-1-2";"10.925";"4:1";"UEFA Nations League B";"Serbia"
"Group 4";"Thu Jun 9, 2022";"8:45 PM";"A";"";"Sweden";"3-4-2-1";"24.123";"0:1";"UEFA Nations League B";"Serbia"
"Group 4";"Sun Jun 12, 2022";"8:45 PM";"A";"";"Slovenia";"3-4-1-2";"13.782";"2:2";"UEFA Nations League B";"Serbia"
"Group 4";"Sat Sep 24, 2022";"8:45 PM";"H";"";"Sweden";"3-5-2";"";"4:1";"UEFA Nations League B";"Serbia"
"Group 4";"Tue Sep 27, 2022";"8:45 PM";"A";"";"Norway";"";"";"-:-";"UEFA Nations League B";"Serbia"
"Group 4";"Sun Sep 9, 2018";"6:00 PM";"H";"";"Wales";"4-3-3 Defending";"17.506";"2:0";"UEFA Nations League B";"Denmark"
"Group 4";"Sat Oct 13, 2018";"8:45 PM";"A";"";"Republic of Ireland";"4-2-3-1";"41.220";"0:0";"UEFA Nations League B";"Denmark"
"Group 4";"Fri Nov 16, 2018";"8:45 PM";"A";"";"Wales";"4-2-3-1";"32.354";"1:2";"UEFA Nations League B";"Denmark"
"Group 4";"Mon Nov 19, 2018";"8:45 PM";"H";"";"Republic of Ireland";"4-3-3 Defending";"11.130";"0:0";"UEFA Nations League B";"Denmark"
"Group 2";"Sat Sep 5, 2020";"8:45 PM";"H";"";"Belgium";"4-3-3 Attacking";"x";"0:2";"UEFA Nations League A";"Denmark"
"Group 2";"Tue Sep 8, 2020";"8:45 PM";"H";"";"England";"4-3-3 Attacking";"x";"0:0";"UEFA Nations League A";"Denmark"
"Group 2";"Sun Oct 11, 2020";"8:45 PM";"A";"";"Iceland";"4-2-3-1";"";"0:3";"UEFA Nations League A";"Denmark"
"Group 2";"Wed Oct 14, 2020";"8:45 PM";"A";"";"England";"4-3-3 Attacking";"x";"0:1";"UEFA Nations League A";"Denmark"
"Group 2";"Sun Nov 15, 2020";"8:45 PM";"H";"";"Iceland";"3-5-2";"x";"2:1";"UEFA Nations League A";"Denmark"
"Group 2";"Wed Nov 18, 2020";"8:45 PM";"A";"";"Belgium";"4-2-3-1";"";"4:2";"UEFA Nations League A";"Denmark"
"Group 1";"Fri Jun 3, 2022";"8:45 PM";"A";"";"France";"3-4-1-2";"75.833";"1:2";"UEFA Nations League A";"Denmark"
