"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group C";"Fri Sep 7, 2012";"8:45 PM";"H";"";"Faroe Islands";"4-1-4-1";"32.769";"3:0";"World Cup qualification Europe";"Germany"
"Group C";"Tue Sep 11, 2012";"8:35 PM";"A";"";"Austria";"4-2-3-1";"47.000";"1:2";"World Cup qualification Europe";"Germany"
"Group C";"Fri Oct 12, 2012";"8:45 PM";"A";"";"Republic of Ireland";"4-2-3-1";"40.000";"1:6";"World Cup qualification Europe";"Germany"
"Group C";"Tue Oct 16, 2012";"8:45 PM";"H";"";"Sweden";"4-2-3-1";"72.369";"4:4";"World Cup qualification Europe";"Germany"
"Group C";"Fri Mar 22, 2013";"7:00 PM";"A";"";"Kazakhstan";"4-2-3-1";"30.000";"0:3";"World Cup qualification Europe";"Germany"
"Group C";"Tue Mar 26, 2013";"8:45 PM";"H";"";"Kazakhstan";"4-2-3-1";"43.500";"4:1";"World Cup qualification Europe";"Germany"
"Group C";"Fri Sep 6, 2013";"8:45 PM";"H";"";"Austria";"4-2-3-1";"68.000";"3:0";"World Cup qualification Europe";"Germany"
"Group C";"Tue Sep 10, 2013";"8:45 PM";"A";"";"Faroe Islands";"4-2-3-1";"4.818";"0:3";"World Cup qualification Europe";"Germany"
"Group C";"Fri Oct 11, 2013";"8:45 PM";"H";"";"Republic of Ireland";"4-2-3-1";"46.237";"3:0";"World Cup qualification Europe";"Germany"
"Group C";"Tue Oct 15, 2013";"8:45 PM";"A";"";"Sweden";"4-2-3-1";"50.000";"3:5";"World Cup qualification Europe";"Germany"
"Group D";"Sun Sep 7, 2014";"8:45 PM";"H";"";"Scotland";"4-2-3-1";"60.209";"2:1";"European Qualifiers";"Germany"
"Group D";"Sat Oct 11, 2014";"8:45 PM";"A";"";"Poland";"4-2-3-1";"58.145";"2:0";"European Qualifiers";"Germany"
"Group D";"Tue Oct 14, 2014";"8:45 PM";"H";"";"Republic of Ireland";"4-2-3-1";"51.000";"1:1";"European Qualifiers";"Germany"
"Group D";"Fri Nov 14, 2014";"8:45 PM";"H";"";"Gibraltar";"3-5-2";"44.308";"4:0";"European Qualifiers";"Germany"
"Group D";"Sun Mar 29, 2015";"6:00 PM";"A";"";"Georgia";"4-2-3-1";"54.549";"0:2";"European Qualifiers";"Germany"
"Group D";"Sat Jun 13, 2015";"8:45 PM";"A";"";"Gibraltar";"3-5-2";"7.467";"0:7";"European Qualifiers";"Germany"
"Group D";"Fri Sep 4, 2015";"8:45 PM";"H";"";"Poland";"4-2-3-1";"48.500";"3:1";"European Qualifiers";"Germany"
"Group D";"Mon Sep 7, 2015";"8:45 PM";"A";"";"Scotland";"4-2-3-1";"50.753";"2:3";"European Qualifiers";"Germany"
"Group D";"Thu Oct 8, 2015";"8:45 PM";"A";"";"Republic of Ireland";"4-4-2 double 6";"51.700";"1:0";"European Qualifiers";"Germany"
"Group D";"Sun Oct 11, 2015";"8:45 PM";"H";"";"Georgia";"4-2-3-1";"43.630";"2:1";"European Qualifiers";"Germany"
"Group C";"Sun Sep 4, 2016";"8:45 PM";"A";"";"Norway";"4-2-3-1";"26.793";"0:3";"World Cup qualification Europe";"Germany"
"Group C";"Sat Oct 8, 2016";"8:45 PM";"H";"";"Czech Republic";"4-2-3-1";"51.299";"3:0";"World Cup qualification Europe";"Germany"
"Group C";"Tue Oct 11, 2016";"8:45 PM";"H";"";"Northern Ireland";"4-2-3-1";"42.135";"2:0";"World Cup qualification Europe";"Germany"
