"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
NA;"Di. 30.03.2021";"20:45";"H";"";"Irland";"5-3-2";"x";"1:1";"Freundschaftsspiele";"katar"
NA;"So. 04.07.2021";"18:30";"H";"";"El Salvador";"5-3-2";"";"1:0";"Freundschaftsspiele";"katar"
NA;"Mi. 01.09.2021";"20:45";"H";"";"Serbien";"5-3-2";"";"0:4";"Freundschaftsspiele";"katar"
NA;"Sa. 04.09.2021";"18:45";"H";"";"Portugal";"5-3-2";"";"1:3";"Freundschaftsspiele";"katar"
NA;"Di. 07.09.2021";"20:45";"A";"";"Luxemburg";"5-3-2";"";"1:1";"Freundschaftsspiele";"katar"
NA;"Sa. 09.10.2021";"21:15";"A";"";"Portugal";"5-4-1 flach";"";"3:0";"Freundschaftsspiele";"katar"
NA;"Di. 12.10.2021";"20:45";"A";"";"Irland";"5-3-2";"25.749";"4:0";"Freundschaftsspiele";"katar"
NA;"Do. 11.11.2021";"18:00";"A";"";"Serbien";"3-5-2 flach";"";"4:0";"Freundschaftsspiele";"katar"
NA;"So. 14.11.2021";"18:00";"A";"";"Aserbaidschan";"3-5-2 flach";"";"2:2";"Freundschaftsspiele";"katar"
"Gruppe A";"So. 20.11.2022";"17:00";"H";"";"Ecuador";"?";"";"-:-";"Weltmeisterschaft 2022";"katar"
"Gruppe A";"Fr. 25.11.2022";"14:00";"H";"";"Senegal";"?";"";"-:-";"Weltmeisterschaft 2022";"katar"
"Gruppe A";"Di. 29.11.2022";"16:00";"A";"";"Niederlande";"?";"";"-:-";"Weltmeisterschaft 2022";"katar"
NA;"Sa. 26.03.2022";"18:30";"H";"";"Bulgarien";"3-4-1-2";"";"2:1";"Freundschaftsspiele";"katar"
NA;"Di. 29.03.2022";"19:30";"H";"";"Slowenien";"5-3-2";"";"0:0";"Freundschaftsspiele";"katar"
NA;"Fr. 26.08.2022";"17:00";"H";"";"Jamaika";"";"";"-:-";"Freundschaftsspiele";"katar"
NA;"Mi. 27.01.2010";"02:00";"A";"";"Argentinien";"4-3-2-1";"19.000";"3:2";"Freundschaftsspiele";"costa-rica"
NA;"Mi. 26.05.2010";"21:00";"A";"";"Frankreich";"4-5-1";"40.000";"2:1";"Freundschaftsspiele";"costa-rica"
NA;"Di. 01.06.2010";"00:00";"A";"";"Schweiz";"4-3-3 offensiv";"11.300";"0:1";"Freundschaftsspiele";"costa-rica"
NA;"Sa. 05.06.2010";"00:00";"A";"";"Slowakei";"?";"12.000";"3:0";"Freundschaftsspiele";"costa-rica"
NA;"Mi. 11.08.2010";"00:00";"A";"";"Paraguay";"4-4-2";"22.000";"2:0";"Freundschaftsspiele";"costa-rica"
NA;"Sa. 04.09.2010";"04:00";"A";"";"Panama";"4-1-4-1";"25.463";"2:2";"Freundschaftsspiele";"costa-rica"
NA;"Mo. 06.09.2010";"00:00";"A";"";"Jamaika";"?";"";"1:0";"Freundschaftsspiele";"costa-rica"
