"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group B";"Sat Jun 20, 2015";"9:00 PM";"H";"";"Paraguay";"4-4-2 double 6";"16.021";"1:1";"Copa América 2015";"Uruguay"
"Quarter-Finals";"Thu Jun 25, 2015";"1:30 AM";"A";"";"Chile";"4-4-2 double 6";"45.304";"1:0";"Copa América 2015";"Uruguay"
"Group C";"Mon Jun 6, 2016";"2:00 AM";"A";"";"Mexico";"4-4-2 double 6";"60.025";"3:1";"Copa América Centenario 2016";"Uruguay"
"Group C";"Fri Jun 10, 2016";"1:30 AM";"H";"";"Venezuela";"4-4-2 double 6";"23.002";"0:1";"Copa América Centenario 2016";"Uruguay"
"Group C";"Tue Jun 14, 2016";"4:00 AM";"H";"";"Jamaica";"4-4-2 double 6";"40.166";"3:0";"Copa América Centenario 2016";"Uruguay"
"Group C";"Mon Jun 17, 2019";"12:01 AM";"H";"";"Ecuador";"4-4-2";"13.611";"4:0";"Copa América 2019";"Uruguay"
"Group C";"Fri Jun 21, 2019";"1:00 AM";"H";"";"Japan";"4-4-2 double 6";"39.733";"2:2";"Copa América 2019";"Uruguay"
"Group C";"Tue Jun 25, 2019";"1:00 AM";"A";"";"Chile";"4-4-2 double 6";"49.275";"0:1";"Copa América 2019";"Uruguay"
"Quarter-Finals";"Sat Jun 29, 2019";"9:00 PM";"H";"";"Peru";"4-4-2 double 6";"21.180";"4:5  on pens";"Copa América 2019";"Uruguay"
"Group A";"Sat Jun 19, 2021";"2:00 AM";"A";"";"Argentina";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Uruguay"
"Group A";"Mon Jun 21, 2021";"11:00 PM";"H";"";"Chile";"4-4-2 Diamond";"x";"1:1";"Copa América 2021";"Uruguay"
"Group A";"Thu Jun 24, 2021";"11:00 PM";"A";"";"Bolivia";"4-4-2 Diamond";"x";"0:2";"Copa América 2021";"Uruguay"
"Group A";"Tue Jun 29, 2021";"2:00 AM";"H";"";"Paraguay";"4-3-2-1";"x";"1:0";"Copa América 2021";"Uruguay"
"Quarter-Finals";"Sun Jul 4, 2021";"12:00 AM";"H";"";"Colombia";"4-4-2 Diamond";"x";"2:4  on pens";"Copa América 2021";"Uruguay"
"Group A";"Sat Jul 2, 2011";"8:30 PM";"H";"";"Costa Rica";"4-3-3 Defending";"20.000";"1:0";"Copa América 2011";"Colombia"
"Group A";"Thu Jul 7, 2011";"2:45 AM";"A";"";"Argentina";"4-4-2 double 6";"";"0:0";"Copa América 2011";"Colombia"
"Group A";"Sun Jul 10, 2011";"9:00 PM";"H";"";"Bolivia";"4-1-4-1";"";"2:0";"Copa América 2011";"Colombia"
"Quarter-Finals";"Sat Jul 16, 2011";"9:00 PM";"H";"";"Peru";"4-4-2 double 6";"40.000";"0:2  AET";"Copa América 2011";"Colombia"
"Group C";"Sun Jun 14, 2015";"9:00 PM";"H";"";"Venezuela";"4-4-2 double 6";"12.387";"0:1";"Copa América 2015";"Colombia"
"Group C";"Thu Jun 18, 2015";"2:00 AM";"A";"";"Brazil";"4-4-2 double 6";"44.008";"0:1";"Copa América 2015";"Colombia"
"Group C";"Sun Jun 21, 2015";"9:00 PM";"H";"";"Peru";"4-4-2 double 6";"17.231";"0:0";"Copa América 2015";"Colombia"
"Quarter-Finals";"Sat Jun 27, 2015";"1:30 AM";"A";"";"Argentina";"4-1-3-2";"21.508";"5:4  on pens";"Copa América 2015";"Colombia"
"Group A";"Sat Jun 4, 2016";"3:30 AM";"A";"";"United States";"4-4-1-1";"67.439";"0:2";"Copa América Centenario 2016";"Colombia"
"Group A";"Wed Jun 8, 2016";"4:30 AM";"H";"";"Paraguay";"4-2-3-1";"42.766";"2:1";"Copa América Centenario 2016";"Colombia"
"Group A";"Sun Jun 12, 2016";"3:00 AM";"H";"";"Costa Rica";"4-3-3 Attacking";"45.808";"2:3";"Copa América Centenario 2016";"Colombia"
"Quarter-Finals";"Sat Jun 18, 2016";"2:00 AM";"A";"";"Peru";"4-2-3-1";"79.194";"2:4  on pens";"Copa América Centenario 2016";"Colombia"
"Semi-Finals";"Thu Jun 23, 2016";"2:00 AM";"H";"";"Chile";"4-2-3-1";"55.423";"0:2";"Copa América Centenario 2016";"Colombia"
"Third Place Play-Off";"Sun Jun 26, 2016";"2:00 AM";"A";"";"United States";"4-2-3-1";"29.041";"0:1";"Copa América Centenario 2016";"Colombia"
"Group B";"Sun Jun 16, 2019";"12:01 AM";"A";"";"Argentina";"4-2-3-1";"35.572";"0:2";"Copa América 2019";"Colombia"
"Group B";"Wed Jun 19, 2019";"11:30 PM";"H";"";"Qatar";"4-3-2-1";"22.079";"1:0";"Copa América 2019";"Colombia"
"Group B";"Sun Jun 23, 2019";"9:00 PM";"H";"";"Paraguay";"4-3-3 Attacking";"13.903";"1:0";"Copa América 2019";"Colombia"
"Quarter-Finals";"Sat Jun 29, 2019";"1:20 AM";"H";"";"Chile";"4-3-2-1";"44.062";"4:5  on pens";"Copa América 2019";"Colombia"
"Group B";"Mon Jun 14, 2021";"2:00 AM";"H";"";"Ecuador";"4-4-2 double 6";"x";"1:0";"Copa América 2021";"Colombia"
"Group B";"Thu Jun 17, 2021";"11:00 PM";"H";"";"Venezuela";"4-4-2 double 6";"x";"0:0";"Copa América 2021";"Colombia"
"Group B";"Mon Jun 21, 2021";"2:00 AM";"H";"";"Peru";"4-2-3-1";"x";"1:2";"Copa América 2021";"Colombia"
"Group B";"Thu Jun 24, 2021";"2:00 AM";"H";"";"Brazil";"4-4-2 double 6";"x";"1:2";"Copa América 2021";"Colombia"
"Quarter-Finals";"Sun Jul 4, 2021";"12:00 AM";"A";"";"Uruguay";"4-4-2 double 6";"x";"2:4  on pens";"Copa América 2021";"Colombia"
"Semi-Finals";"Wed Jul 7, 2021";"3:00 AM";"A";"";"Argentina";"4-4-2 double 6";"x";"4:3  on pens";"Copa América 2021";"Colombia"
