"";"_Spieltag";"Datum";"Uhrzeit";"Heimmannschaft";"Gastmannschaft";"Spielsystem";"Trainer";"Zuschauer";"Ergebnis";"country"
"21";"Gruppe E";"So. 15.06.2014";"21:00";"Frankreich";"Honduras";"4-3-3 offensiv";"Didier Deschamps";"43.012";"3:0";"frankreich"
"22";"Gruppe E";"Fr. 20.06.2014";"21:00";"Schweiz";"Frankreich";"4-3-3 offensiv";"Didier Deschamps";"51.003";"2:5";"frankreich"
"23";"Gruppe E";"Mi. 25.06.2014";"22:00";"Ecuador";"Frankreich";"4-3-3 offensiv";"Didier Deschamps";"74.545";"0:0";"frankreich"
"24";"Achtelfinale";"Mo. 30.06.2014";"18:00";"Frankreich";"Nigeria";"4-3-3 offensiv";"Didier Deschamps";"67.882";"2:0";"frankreich"
"25";"Viertelfinale";"Fr. 04.07.2014";"18:00";"Frankreich";"Deutschland";"4-3-3 offensiv";"Didier Deschamps";"74.240";"0:1";"frankreich"
"26";"Gruppe C";"Sa. 16.06.2018";"12:00";"Frankreich";"Australien";"4-3-3 offensiv";"Didier Deschamps";"41.279";"2:1";"frankreich"
"27";"Gruppe C";"Do. 21.06.2018";"17:00";"Frankreich";"Peru";"4-2-3-1";"Didier Deschamps";"32.789";"1:0";"frankreich"
"28";"Gruppe C";"Di. 26.06.2018";"16:00";"Dänemark";"Frankreich";"4-2-3-1";"Didier Deschamps";"78.011";"0:0";"frankreich"
"29";"Achtelfinale";"Sa. 30.06.2018";"16:00";"Frankreich";"Argentinien";"4-2-3-1";"Didier Deschamps";"42.873";"4:3";"frankreich"
"30";"Viertelfinale";"Fr. 06.07.2018";"16:00";"Uruguay";"Frankreich";"4-2-3-1";"Didier Deschamps";"43.319";"0:2";"frankreich"
"31";"Halbfinale";"Di. 10.07.2018";"20:00";"Frankreich";"Belgien";"4-2-3-1";"Didier Deschamps";"64.286";"1:0";"frankreich"
"32";"Finale";"So. 15.07.2018";"17:00";"Frankreich";"Kroatien";"4-2-3-1";"Didier Deschamps";"78.011";"4:2";"frankreich"
"33";"Gruppe D";"Di. 22.11.2022";"20:00";"Frankreich";"Australien";"?";"Didier Deschamps";"";"-:-";"frankreich"
"34";"Gruppe D";"Sa. 26.11.2022";"17:00";"Frankreich";"Dänemark";"?";"Didier Deschamps";"";"-:-";"frankreich"
"35";"Gruppe D";"Mi. 30.11.2022";"16:00";"Tunesien";"Frankreich";"?";"Didier Deschamps";"";"-:-";"frankreich"
"36";"Gruppe G";"Di. 15.06.2010";"20:30";"Brasilien";"Nordkorea";"4-3-1-2";"Dunga";"54.331";"2:1";"brasilien"
"37";"Gruppe G";"So. 20.06.2010";"20:30";"Brasilien";"Elfenbeinküste";"4-3-1-2";"Dunga";"84.455";"3:1";"brasilien"
"38";"Gruppe G";"Fr. 25.06.2010";"16:00";"Portugal";"Brasilien";"4-2-3-1";"Dunga";"62.712";"0:0";"brasilien"
"39";"Achtelfinale";"Mo. 28.06.2010";"20:30";"Brasilien";"Chile";"4-4-2 Raute";"Dunga";"54.096";"3:0";"brasilien"
"40";"Viertelfinale";"Fr. 02.07.2010";"16:00";"Niederlande";"Brasilien";"4-4-2 Raute";"Dunga";"40.186";"2:1";"brasilien"
"41";"Gruppe A";"Do. 12.06.2014";"22:00";"Brasilien";"Kroatien";"4-2-3-1";"Luiz Felipe Scolari";"62.103";"3:1";"brasilien"
"42";"Gruppe A";"Di. 17.06.2014";"21:00";"Brasilien";"Mexiko";"4-2-3-1";"Luiz Felipe Scolari";"60.342";"0:0";"brasilien"
"43";"Gruppe A";"Mo. 23.06.2014";"22:00";"Kamerun";"Brasilien";"4-2-3-1";"Luiz Felipe Scolari";"69.112";"1:4";"brasilien"
"44";"Achtelfinale";"Sa. 28.06.2014";"18:00";"Brasilien";"Chile";"4-2-3-1";"Luiz Felipe Scolari";"62.254";"4:3  n.E.";"brasilien"
"45";"Viertelfinale";"Fr. 04.07.2014";"22:00";"Brasilien";"Kolumbien";"4-2-3-1";"Luiz Felipe Scolari";"64.500";"2:1";"brasilien"
"46";"Halbfinale";"Di. 08.07.2014";"22:00";"Brasilien";"Deutschland";"4-2-3-1";"Luiz Felipe Scolari";"58.141";"1:7";"brasilien"
"47";"Spiel um Platz Drei";"Sa. 12.07.2014";"22:00";"Brasilien";"Niederlande";"4-2-3-1";"Luiz Felipe Scolari";"68.034";"0:3";"brasilien"
"48";"Gruppe E";"So. 17.06.2018";"20:00";"Brasilien";"Schweiz";"4-3-3 offensiv";"Tite";"43.472";"1:1";"brasilien"
"49";"Gruppe E";"Fr. 22.06.2018";"14:00";"Brasilien";"Costa Rica";"4-3-3 offensiv";"Tite";"64.468";"2:0";"brasilien"
