"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe C";"Di. 19.11.2019";"20:45";"H";"";"Nordirland";"4-2-3-1";"42.855";"6:1";"EM-Qualifikation";"deutschland"
"Gruppe H";"Fr. 03.09.2010";"21:45";"H";"";"Zypern";"4-2-3-1";"9.100";"4:4";"EM-Qualifikation";"portugal"
"Gruppe H";"Di. 07.09.2010";"20:30";"A";"";"Norwegen";"4-2-3-1";"24.535";"1:0";"EM-Qualifikation";"portugal"
"Gruppe H";"Fr. 08.10.2010";"21:45";"H";"";"Dänemark";"4-3-3 offensiv";"27.117";"3:1";"EM-Qualifikation";"portugal"
"Gruppe H";"Di. 12.10.2010";"21:45";"A";"";"Island";"4-3-3 offensiv";"9.755";"1:3";"EM-Qualifikation";"portugal"
"Gruppe H";"Sa. 04.06.2011";"22:00";"H";"";"Norwegen";"4-3-3 offensiv";"47.829";"1:0";"EM-Qualifikation";"portugal"
"Gruppe H";"Fr. 02.09.2011";"20:45";"A";"";"Zypern";"4-3-3 offensiv";"15.444";"0:4";"EM-Qualifikation";"portugal"
"Gruppe H";"Fr. 07.10.2011";"22:00";"H";"";"Island";"4-3-3 offensiv";"35.715";"5:3";"EM-Qualifikation";"portugal"
"Gruppe H";"Di. 11.10.2011";"20:15";"A";"";"Dänemark";"4-3-3 offensiv";"37.012";"2:1";"EM-Qualifikation";"portugal"
"Gruppe I";"So. 07.09.2014";"20:45";"H";"";"Albanien";"4-3-3 offensiv";"23.205";"0:1";"EM-Qualifikation";"portugal"
"Gruppe I";"Di. 14.10.2014";"20:45";"A";"";"Dänemark";"4-1-3-2";"36.562";"0:1";"EM-Qualifikation";"portugal"
"Gruppe I";"Fr. 14.11.2014";"20:45";"H";"";"Armenien";"4-1-3-2";"21.042";"1:0";"EM-Qualifikation";"portugal"
"Gruppe I";"So. 29.03.2015";"20:45";"H";"";"Serbien";"4-1-3-2";"58.430";"2:1";"EM-Qualifikation";"portugal"
"Gruppe I";"Sa. 13.06.2015";"18:00";"A";"";"Armenien";"4-1-3-2";"14.900";"2:3";"EM-Qualifikation";"portugal"
"Gruppe I";"Mo. 07.09.2015";"20:45";"A";"";"Albanien";"4-1-3-2";"12.121";"0:1";"EM-Qualifikation";"portugal"
"Gruppe I";"Do. 08.10.2015";"20:45";"H";"";"Dänemark";"4-3-3 offensiv";"29.850";"1:0";"EM-Qualifikation";"portugal"
"Gruppe I";"So. 11.10.2015";"18:00";"A";"";"Serbien";"4-3-3 offensiv";"7.485";"1:2";"EM-Qualifikation";"portugal"
"Gruppe B";"Fr. 22.03.2019";"20:45";"H";"";"Ukraine";"4-1-4-1";"29.917";"0:0";"EM-Qualifikation";"portugal"
"Gruppe B";"Mo. 25.03.2019";"20:45";"H";"";"Serbien";"4-4-2 doppel 6";"50.342";"1:1";"EM-Qualifikation";"portugal"
"Gruppe B";"Sa. 07.09.2019";"20:45";"A";"";"Serbien";"4-1-4-1";"39.839";"2:4";"EM-Qualifikation";"portugal"
"Gruppe B";"Di. 10.09.2019";"20:45";"A";"";"Litauen";"4-1-4-1";"5.067";"1:5";"EM-Qualifikation";"portugal"
"Gruppe B";"Fr. 11.10.2019";"20:45";"H";"";"Luxemburg";"4-1-4-1";"47.308";"3:0";"EM-Qualifikation";"portugal"
"Gruppe B";"Mo. 14.10.2019";"20:45";"A";"";"Ukraine";"4-3-3 offensiv";"66.000";"2:1";"EM-Qualifikation";"portugal"
"Gruppe B";"Do. 14.11.2019";"20:45";"H";"";"Litauen";"4-1-3-2";"18.534";"6:0";"EM-Qualifikation";"portugal"
"Gruppe B";"So. 17.11.2019";"15:00";"A";"";"Luxemburg";"4-1-4-1";"8.000";"0:2";"EM-Qualifikation";"portugal"
"Gruppe I";"Fr. 03.09.2010";"20:45";"A";"";"Liechtenstein";"4-3-3 offensiv";"6.127";"0:4";"EM-Qualifikation";"spanien"
"Gruppe I";"Fr. 08.10.2010";"22:00";"H";"";"Litauen";"4-3-3 offensiv";"17.000";"3:1";"EM-Qualifikation";"spanien"
"Gruppe I";"Di. 12.10.2010";"21:00";"A";"";"Schottland";"4-3-3 offensiv";"52.500";"2:3";"EM-Qualifikation";"spanien"
"Gruppe I";"Fr. 25.03.2011";"22:00";"H";"";"Tschechien";"4-3-3 offensiv";"16.212";"2:1";"EM-Qualifikation";"spanien"
"Gruppe I";"Di. 29.03.2011";"20:45";"A";"";"Litauen";"4-3-3 offensiv";"7.000";"1:3";"EM-Qualifikation";"spanien"
